Nom,Doris,Taxon,Sous-taxon,Text,association,habitat,photo,regime,signe,taille
Sabelle indienne,https://doris.ffessm.fr/Especes/Sabellastarte-magnifica-Sabelle-magnifique-974,Vers,Annélidé,,,,20250330-145619-P3300393-TG4-BenHub.jpg,,annelide,
Ver Arbre de Noël,https://doris.ffessm.fr/Especes/Spirobranchus-giganteus-Ver-arbre-de-Noel-937,Vers,Annélidé,Double hélice branchiale et opercule,Mutualisme avec les coraux durs sur lesquels il se fixe (pas de perforation),"Jusqu'à 30m, principalement dans des coraux preux digitiformes",20250403-145740-P4030531-TG4-BenHub.jpg,"Par filtration ",annelide,~ 10 cm
Doris à deux anneaux,https://doris.ffessm.fr/Especes/Goniobranchus-annulatus-Doris-a-deux-anneaux-2562/(rOffset)/0,Mollusque,Nudibranche (doridien),Goniobranchus annulatus,,"< 40 m, sur des substrats durs",20250404-132849-P4040226-TG4-BenHub.jpg,"Eponges, notamment l’éponge réticulée violette",nudibranche,< 10 cm
Huître corallicole,https://doris.ffessm.fr/Especes/Pedum-spondyloideum-Huitre-corallicole-758,Mollusque,Bivalve,,"Coraux durs, où elle se développe et qu'elle aide à se
protéger des prédateurs (étoiles de mer...)","< 20 m, dans les anfractuosités des coraux",20250401-141451-P4010476-TG4-BenHub.jpg,Par filtration,bivalve,< 6 cm
Bénitier commun,https://doris.ffessm.fr/Especes/Tridacna-maxima-Benitier-commun-4775/(rOffset)/1,Mollusque,Bivalve,"Siphons inhalant (bordé de tentacules) et exhalant (sur un monticule conique), manteau très coloré ","Symbiose avec les Zooxanthelles dans leur tissus - hôte d'éponges, algues, anémones, crevettes etc",Récif corallien,20250404-131638-P4040205-TG4-BenHub.jpg,"Produits de la photosynthèse des Zooxanthelles ",bivalve,"~ 50 cm, jusqu'à plusieurs mètres "
Doris pyjama,https://doris.ffessm.fr/Especes/Chromodoris-quadricolor-Doris-pyjama-2360/,Mollusque,Nudibranche (doridien),,,"Entre 5 et 30 m, sur des substrats durs",20250331-113848-P3310461-TG4-BenHub.jpg,Éponges rouges et grises,nudibranche,< 5 cm
Crevette à longues pattes,https://nomadica.jimdofree.com/arthropodes/crevettes-langoustes-cigale-de-mer/periclimenes-longicarpus/,Crustacé,Crevette,"Corps transparent, longue ligne blanche sur le corps, taches violettes et blanches
Aussi appelée Crevette symbiotique de Mer Rouge - Ancylomenes longicarpus / Periclimenes longicarpus",Avec des anémones et coraux (habitat) - Des poissons : crevette nettoyeuse,"récifs coraliens, dans des anémones ou sur certains coraux, ici sur du corail bulle",20250401-135750-P4010470-TG4-BenHub.jpg,carnivore et détrivore (crevette nettoyeuse),crustace,"< 2,5 cm"
Etoile de mer rouge,,Echinoderme,Astéride,,,,20250401-144428-P4010492-TG4-BenHub.jpg,,echinoderme,
Valonie,https://doris.ffessm.fr/Especes/Valonia-ventricosa-Valonie-perle-1279/(rOffset)/0,Algues,Algues vertes,,,,20250404-131139-P4040196-TG4-BenHub.jpg,,vegetal,
Ascidie blanche,,Tunicier,Ascidie,,,,20250403-112313-P4030513-TG4-BenHub.jpg,,tunicier,
